Sentença	Id	Index	Granularidade	Documento
Flamengo enfrentou o Palmeiras em uma partida importante do campeonato.	1	0	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	1	1	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	1	2	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	1	3	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_0	1	-1	1	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Corinthians enfrentou o São Paulo em uma partida importante do campeonato.	2	0	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	2	1	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	2	2	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	2	3	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_1	2	-1	1	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
